TestCase,CWE Type,Vul Position
22_DS-1,22,FileServerHandler.serve_file
22_DS-2,22,download_image
22_DS-3,22,ConfigManager.load_config
22_DS-4,22,DocumentManager.get_document
22_DS-5,22,generate_thumbnail
22_DS-6,22,BackupManager.restore_backup
22_DS-7,22,LogManager.get_log_file
22_DS-8,22,ReportGenerator.load_template
22_DS-9,22,DocumentArchiver.archive_document
22_DS-10,22,TemplateRenderer.render_template
22_DS-11,22,FileServerHandler.serve_file
22_DS-12,22,get_image
22_DS-13,22,download_document
22_DS-14,22,restore_config
22_DS-15,22,download_report
22_DS-16,22,download_log
22_DS-17,22,ConfigManager.load_config
22_DS-18,22,stream_media
22_DS-19,22,extract_archive
22_DS-20,22,serve_theme_asset
77_DS-1,77,FileManager.search_files
77_DS-2,77,NetworkDiagnostics.trace_route
77_DS-3,77,LogAnalyzer.search_logs
77_DS-4,77,DatabaseManager.create_backup
77_DS-5,77,SystemMonitor.check_process
77_DS-6,77,WebhookTester.test_curl_request
77_DS-7,77,DocumentConverter.convert_file
77_DS-8,77,VideoProcessor.process_video
77_DS-9,77,DNSTool.custom_query
77_DS-10,77,NetworkConfigurator.configure_kernel_param
77_DS-11,77,FileCompressor.compress_file
77_DS-12,77,ImageProcessor.apply_filter
77_DS-13,77,DatabaseBackupTool.create_backup
77_DS-14,77,NetworkDiagnosticTool.run_diagnotstic
77_DS-15,77,DocumentConverter.convert_document
77_DS-16,77,SystemMonitor.execute_system_check
77_DS-17,77,WebsiteScreenshot.capture_website
77_DS-18,77,VideoProcessor.process_video
77_DS-19,77,DNSLookupTool.perform_lookup
77_DS-20,77,SystemInfoTool.get_system_info
79_DS-1,79,index
79_DS-2,79,ProfileView.get
79_DS-3,79,read_notes
79_DS-4,79,view_notifications_view
79_DS-5,79,FeedbackApp.view
79_DS-6,79,create_post
79_DS-7,79,ChatHandler.get
79_DS-8,79,view_page
79_DS-9,79,dashboard
79_DS-10,79,ReportResource.on_get
79_DS-11,79,view_post
79_DS-12,79,SearchView.get
79_DS-13,79,profile
79_DS-14,79,view_file
79_DS-15,79,login_view
79_DS-16,79,GetNotificationsHandler.get
79_DS-17,79,Root.index
79_DS-18,79,view_post
79_DS-19,79,view_profile
79_DS-20,79,SearchResource.on_get
89_DS-1,89,search_product
89_DS-2,89,get_employee_by_filter
89_DS-3,89,search_products
89_DS-4,89,search_cases
89_DS-5,89,get_user_posts
89_DS-6,89,AccountHandler.get
89_DS-7,89,search_rooms
89_DS-8,89,LibrarySystem.search_books
89_DS-9,89,search_patient_records
89_DS-10,89,search_tickets
89_DS-11,89,search_books
89_DS-12,89,search_books
89_DS-13,89,search_employees
89_DS-14,89,search_users
89_DS-15,89,search_products
89_DS-16,89,search_users_view
89_DS-17,89,search_products
89_DS-18,89,LoginHandler.post
89_DS-19,89,search_comments
89_DS-20,89,ReportSystem.generate_report
94_DS-1,94,add_item
94_DS-2,94,vulnerable_filter
94_DS-3,94,TemplateHandler.post.vulnerable_render
94_DS-4,94,PricingEngine.vulnerable_calculate
94_DS-5,94,ReportGenerator.vulnerable_generate_report
94_DS-6,94,ConfigManager.vulnerable_apply_config
94_DS-7,94,WorkflowEngine.vulnerable_execute_step
94_DS-8,94,ResponseProcessor.vulnerable_process_response
94_DS-9,94,RuleEngine.vulnerable_evaluate_rule
94_DS-10,94,DataTransformer.vulnerable_transform
94_DS-11,94,InventoryManager.process_custom_command
94_DS-12,94,admin_actions
94_DS-13,94,dynamic_filter
94_DS-14,94,execute_operation
94_DS-15,94,verify_token
94_DS-16,94,DynamicTemplateRenderer._compile_template
94_DS-17,94,evaluate_math
94_DS-18,94,calculate_endpoint
94_DS-19,94,evaluate_expression
94_DS-20,94,direct_validate
502_DS-1,502,AnalyticsConfig.load_from_pickle
502_DS-2,502,update_config
502_DS-3,502,DeviceConfigManager.store_config
502_DS-4,502,TaskWorker._execute_task
502_DS-5,502,FileProcessor.load_processing_plugin
502_DS-6,502,TransactionProcessor.load_validation_rules
502_DS-7,502,DataAnalyzer.load_analysis_module
502_DS-8,502,ModelServer.load_model
502_DS-9,502,CacheNode.store_data
502_DS-10,502,IoTDeviceManager.process_firmware_update
502_DS-11,502,AnalyticsService.load_config_from_file
502_DS-12,502,DocumentProcessor.load_serialized_document
502_DS-13,502,NetworkManager._process_remote_config
502_DS-14,502,TaskWorker._handle_client
502_DS-15,502,CacheNode._handle_connection
502_DS-16,502,PluginManager._load_compiled_plugin
502_DS-17,502,TransactionProcessor.load_transaction_batch
502_DS-18,502,MedicalRecordSystem.import_records
502_DS-19,502,GameSaveManager.load_game
502_DS-20,502,HomeAutomationHub.import_device_config
